OTU,family,genus,species
F.Otu0289,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu0280,Dothideaceae,Dothideaceae,Dothideaceae_unclassified
F.Otu0118,Phaeosphaeriaceae,Juncaceicola,Juncaceicola
B.Otu0013,Microbacteriaceae,Marisediminicola,Marisediminicola
F.Otu0296,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu0056,Sporormiaceae,Sporormiaceae,Sporormiaceae_unclassified
F.Otu0298,unclassified_Chaetothyriales,unclassified,unclassified_Chaetothyriales
F.Otu0317,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
F.Otu0225,Mytilinidiaceae,Lophium,Lophium
F.Otu0324,Sympoventuriaceae,unclassified,unclassified_Sympoventuriaceae
F.Otu0183,Bulleraceae,Bullera,Bullera
F.Otu0074,Lecanorales_unclassified,Lecanorales,Lecanorales_unclassified
F.Otu0062,Leucosporidiaceae,Leucosporidium,Leucosporidium
B.Otu0106,Acetobacteraceae,Acetobacteraceae_unclassified,Acetobacteraceae_unclassified
B.Otu0127,Hymenobacteraceae,Hymenobacter,Hymenobacter
F.Otu0337,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
F.Otu0032,Aureobasidiaceae,Aureobasidium,Aureobasidium
B.Otu0064,Rickettsiaceae,Rickettsia,Rickettsia
F.Otu0223,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0359,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
F.Otu0248,Rhizophydiaceae,Rhizophydium,Rhizophydium
F.Otu0362,Chaetothyriales_unclassified,Chaetothyriales,Chaetothyriales_unclassified
F.Otu0236,Capnodiales_unclassified,Capnodiales,Capnodiales_unclassified
A.Otu0106,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas_callunae
F.Otu0191,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0331,Leucosporidiales_unclassified,Leucosporidiales,Leucosporidiales_unclassified
A.Otu0065,Chlamydomonadaceae,Scotiella,Scotiella_cryophila
F.Otu0213,Tubeufiaceae,Helicoma,Helicoma
A.Otu0087,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas_nivalis
F.Otu0358,Microbotryomycetes_unclassified,Microbotryomycetes,Microbotryomycetes_unclassified
F.Otu0070,Sporidiobolaceae,Rhodotorula,Rhodotorula
F.Otu0363,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
F.Otu0380,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
B.Otu0218,Chitinophagaceae,Ferruginibacter,Ferruginibacter
A.Otu0104,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas_nivalis
A.Otu0110,Chlamydomonadaceae,Scotiella,Scotiella_cryophila
F.Otu0134,Ascomycota_unclassified,Ascomycota,Ascomycota_unclassified
F.Otu0350,Chaetothyriales_unclassified,Chaetothyriales,Chaetothyriales_unclassified
F.Otu0390,Leucosporidiaceae,Leucosporidiaceae,Leucosporidiaceae_unclassified
F.Otu0387,unclassified_Microbotryomycetes,unclassified,unclassified_Microbotryomycetes
B.Otu0095,Burkholderiaceae,Xylophilus,Xylophilus
F.Otu0102,Dothioraceae,unclassified,unclassified_Dothioraceae
F.Otu0418,Leucosporidiaceae,Leucosporidium,Leucosporidium
